AHT.L,Ashtead Group plc,AHT.csv,
ANTO.L,Antofagasta plc,ANTO.csv,
BA.L,BAE Systems plc,BA.csv,
BATS.L,British American Tobacco plc,BATS.csv, 
CCH.L,Coca-Cola HBC AG,CCH.csv,
CCL.L,Carnival plc,CCL.csv,
CNA.L,Centrica plc,CNA.csv,
CPG.L,Compass Group plc,CPG.csv,
EXPN.L,Experian plc,EXPN.csv,
EZJ.L,EasyJet plc,EZJ.csv,
GKN.L,GKN plc,GKN.csv,
MDC.L,Mediclinic International plc,MDC.csv,
PFG.L,Provident Financial plc,PFG.csv,
PPB.L,Paddy Power Betfair plc,PPB.csv,
PRU.L,Prudential plc,PRU.csv,
PSN.L,Persimmon plc,PSN.csv,
RB.L,Reckitt Benckiser Group plc,RB.csv,
RDSA.L,Royal Dutch Shell plc,RDSA.csv,
RR.L,Rolls-Royce Holdings plc,RR.csv,
SDR.L,Schroders plc,SDR.csv,
HP.L,Shire plc,SHP.csv,
SKY.L,Sky plc,SKY.csv,
SSE.L,SSE plc,SSE.csv,
STJ.L,St. James Place plc,STJ.csv,
TSCO.L,Tesco plc,TSCO.csv,
TUI.L,TUI AG,TUI.csv,
VOD.L,Vodafone Group plc,VOD.csv,
WPG.L,Worldpay Group plc,WPG.csv,